year,produccion_diaria,precio_crudo,crecimiento_pib,deuda_pib,reservas_probadas,ingresos_pge,recaudacion_iva,deficit_primario,empleo_adecuado,ratio_rp,exportaciones_petroleras,inversion_publica,irfc,collapse_score,collapse
2025,461.14,40.0,0.0,67.51,1217.3,5.65,8300.0,4.8,38.0,7.23,4376.19,7.34,55.48,0,False
2026,438.08,40.0,0.0,73.29,1057.4,5.36,8300.0,5.6,38.0,6.61,4157.38,6.97,59.99,0,False
2027,416.18,40.0,0.0,79.76,905.49,5.09,8300.0,6.4,38.0,5.96,3949.51,6.62,64.75,0,False
2028,395.37,40.0,0.0,86.95,761.18,4.84,8300.0,7.2,38.0,5.27,3752.03,6.29,69.78,1,False
2029,375.6,40.0,0.0,94.89,624.09,4.6,8300.0,8.0,38.0,4.55,3564.43,5.98,75.09,4,False
2030,356.82,40.0,0.0,103.64,493.85,4.37,8300.0,8.8,38.0,3.79,3386.21,5.68,79.6,5,True
2031,338.98,40.0,0.0,113.22,370.12,4.15,8300.0,9.6,38.0,2.99,3216.9,5.39,82.64,5,True
2032,322.03,40.0,0.0,123.69,252.58,3.94,8300.0,10.4,38.0,2.15,3056.06,5.13,84.95,5,True
