year,produccion_diaria,precio_crudo,crecimiento_pib,deuda_pib,reservas_probadas,ingresos_pge,recaudacion_iva,deficit_primario,empleo_adecuado,ratio_rp,exportaciones_petroleras,inversion_publica,irfc,collapse_score,collapse
2025,475.7,75.0,3.0,65.61,1211.98,10.92,8549.0,3.7,44.0,6.98,8464.47,14.2,48.99,0,False
2026,466.18,75.0,3.0,68.73,1041.82,10.7,8549.0,3.4,44.0,6.12,8295.18,13.91,50.87,0,False
2027,456.86,75.0,3.0,71.77,875.07,10.49,8549.0,3.1,44.0,5.25,8129.28,13.63,52.75,0,False
2028,447.72,75.0,3.0,74.71,711.65,10.28,8549.0,2.8,44.0,4.35,7966.69,13.36,54.62,1,False
2029,438.77,75.0,3.0,77.56,551.5,10.07,8549.0,2.5,44.0,3.44,7807.36,13.09,56.5,1,False
2030,429.99,75.0,3.0,80.32,394.55,9.87,8549.0,2.2,44.0,2.51,7651.21,12.83,58.38,3,False
2031,421.39,75.0,3.0,82.98,240.74,9.67,8549.0,1.9,44.0,1.57,7498.19,12.57,60.25,3,False
2032,412.97,75.0,3.0,85.54,90.01,9.48,8549.0,1.6,44.0,0.6,7348.22,12.32,62.13,3,False
