year,produccion_diaria,precio_crudo,crecimiento_pib,deuda_pib,reservas_probadas,ingresos_pge,recaudacion_iva,deficit_primario,empleo_adecuado,ratio_rp,exportaciones_petroleras,inversion_publica,irfc,collapse_score,collapse
2025,468.42,60.0,1.5,66.55,1214.64,8.6,8424.5,4.2,41.0,7.1,6667.93,11.18,51.98,0,False
2026,452.02,60.0,1.5,70.94,1049.65,8.3,8424.5,4.4,41.0,6.36,6434.55,10.79,55.08,0,False
2027,436.2,60.0,1.5,75.59,890.44,8.01,8424.5,4.6,41.0,5.59,6209.34,10.41,58.31,0,False
2028,420.94,60.0,1.5,80.5,736.79,7.73,8424.5,4.8,41.0,4.8,5992.01,10.05,61.65,2,False
2029,406.2,60.0,1.5,85.67,588.53,7.46,8424.5,5.0,41.0,3.97,5782.29,9.7,65.11,2,False
2030,391.99,60.0,1.5,91.13,445.46,7.2,8424.5,5.2,41.0,3.11,5579.91,9.36,68.71,3,False
2031,378.27,60.0,1.5,96.87,307.39,6.95,8424.5,5.4,41.0,2.23,5384.62,9.03,72.43,3,False
2032,365.03,60.0,1.5,102.91,174.15,6.7,8424.5,5.6,41.0,1.31,5196.16,8.71,75.42,4,False
